Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1739871830695,3204,3204,3204,3204,3204,3204,3204,3204,0,50,0,0,0,0,0,0,7.333724498748779,8589934592,4294967296,5989072896,3360292864
501,1739871830695,3204,3204,3204,3204,3204,3204,3204,3204,NaN,NaN,0,0,100,NaN,0,0,7.333724498748779,8589934592,4294967296,5989072896,3360292864
504,1739871831197,3204,3204,3204,3204,3204,3204,3204,3204,34,33.333335876464844,36,26.530611038208008,26,34,8,0,7.230127334594727,8589934592,4294967296,5989072896,3360292864
500,1739871831702,3204,3204,3204,3204,3204,3204,3204,3204,78.4313735961914,79.59183502197266,76.47058868408203,74.50980377197266,30.612245559692383,42,14,9.803921699523926,8.658475875854492,8589934592,4294967296,6020546560,3360292864
504,1739871832203,3204,3204,3204,3204,3204,3204,3204,3204,32.65306091308594,28,24.489795684814453,24.489795684814453,38,40.81632614135742,15.686275482177734,4.081632614135742,8.658475875854492,8589934592,4294967296,6014763008,3360292864
504,1739871832708,3204,3204,3204,3204,3204,3204,3204,3204,48.979591369628906,40,38,38,56,54.90196228027344,36,25.490198135375977,9.743770599365234,8589934592,4294967296,6079971328,3360292864
504,1739871833213,3204,3204,3204,3204,3204,3204,3204,3204,36,28,34,31.37255096435547,50.98039627075195,39.2156867980957,30.612245559692383,29.411766052246094,9.743770599365234,8589934592,4294967296,6370557952,3351904256
501,1739871833718,3204,3204,3204,3204,3204,3204,3204,3204,35.29411697387695,32,28,26,52,32,11.764705657958984,36.73469543457031,12.902162551879883,8589934592,4294967296,6420004864,3351904256
504,1739871834219,3204,3204,3204,3204,3204,3204,3204,3204,46.938777923583984,46,40,38,58,43.13725662231445,29.411766052246094,35.29411697387695,12.902162551879883,8589934592,4294967296,6557843456,3351904256
503,1739871834724,3204,3204,3204,3204,3204,3204,3204,3204,36,34,30.000001907348633,26.530611038208008,44,24.489795684814453,22,42,14.253195762634277,8589934592,4294967296,6475382784,3351904256
500,1739871835227,3204,3204,3204,3204,3204,3204,3204,3204,36.73469543457031,30.612245559692383,29.411766052246094,21.568628311157227,29.411766052246094,31.37255096435547,20.40816307067871,37.25490188598633,14.253195762634277,8589934592,4294967296,6463111168,3351904256
501,1739871835728,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,35.29411697387695,28,24,44,34.693878173828125,31.37255096435547,13.72549057006836,12.748144149780273,8589934592,4294967296,6607093760,3351904256
504,1739871836230,3204,3204,3204,3204,3204,3204,3204,3204,32.65306091308594,28.571430206298828,28.571430206298828,26,40,43.13725662231445,25.490198135375977,30.612245559692383,12.748144149780273,8589934592,4294967296,6528991232,3351904256
504,1739871836735,3204,3204,3204,3204,3204,3204,3204,3204,43.13725662231445,40,38,36,42,32,36,28.571430206298828,14.591438293457031,8589934592,4294967296,6660767744,3351904256
504,1739871837240,3204,3204,3204,3204,3204,3204,3204,3204,51.020408630371094,50,49.01960754394531,44,47.05882263183594,58,42,37.25490188598633,14.591438293457031,8589934592,4294967296,6829948928,3387949056
504,1739871837745,3204,3204,3204,3204,3204,3204,3204,3204,44,40,36.73469543457031,36,61.224491119384766,54.000003814697266,46,40.384613037109375,12.779685020446777,8589934592,4294967296,6798442496,3809280000
