run_type,run_number,energy_joules,execution_time_sec
gpu,5,795.9091904392238,31.513622
gpu,2,321.4755132772922,29.909584
cpu,18,1214.7743549957277,61.237667
cpu,16,1241.58020654428,60.706326
gpu,30,329.6070236444474,29.36087
cpu,13,1241.8664485204217,61.223633
gpu,29,324.52012549340725,29.37528
gpu,7,328.5826552835703,29.880539
cpu,1,1224.1118775649068,61.23736
cpu,28,1263.6495343497995,61.73568
gpu,12,324.10547268831726,29.85547
gpu,14,323.5454113838673,29.845572
gpu,13,328.81743010663985,29.88068
gpu,9,323.6753285124302,30.352816
cpu,2,1212.6509306485655,60.700317
cpu,11,1233.9360515892508,60.70442
gpu,22,324.0606057728529,28.865042
gpu,27,341.64895059180265,29.86972
cpu,19,1270.561300098657,62.23847
cpu,15,1257.1615063377624,61.252037
cpu,9,1254.629830745817,62.21958
gpu,3,333.54978665316105,29.856812
cpu,23,1250.460387202144,61.717514
cpu,7,1255.3106674972776,61.24171
cpu,6,1233.5230807266237,61.245518
cpu,8,1246.4263157982825,61.748894
cpu,20,1252.7385819686647,62.21832
cpu,17,1253.288075328231,62.21132
cpu,21,1244.5721417512896,62.272255
cpu,22,1246.718159692884,62.256588
gpu,26,356.8221283875704,29.879997
cpu,4,1259.3899507694239,62.250553
gpu,6,309.0899770599603,29.900602
gpu,11,312.9662643431424,30.378742
gpu,23,322.43103964328765,29.853716
gpu,25,324.122195604682,29.897348
gpu,28,335.76824467110634,29.860073
cpu,3,1243.7402457426788,61.721764
cpu,29,1238.967217576981,61.21016
cpu,30,1249.1605747346873,61.779556
gpu,15,357.4126310536861,29.834332
cpu,25,1230.0971997662782,61.23895
gpu,4,323.9113154256345,29.314936
gpu,20,322.3152113840581,29.895237
gpu,17,351.279051371813,29.856554
gpu,24,322.91142084050176,30.372896
cpu,27,1249.1170878430605,61.755146
gpu,18,345.73095993828775,29.40311
gpu,19,328.5731259788275,30.369476
gpu,16,330.01567802286144,29.395752
cpu,5,1255.8591977255344,61.758293
gpu,21,344.8577830067873,29.370708
cpu,26,1259.8693066728101,61.72927
gpu,8,330.49775936353205,29.370857
cpu,14,1246.7212821464539,61.263706
gpu,10,325.06979766190057,29.392065
cpu,24,1264.857646868348,61.74742
gpu,1,351.64203328239915,29.887062
cpu,12,1262.3513760954147,61.7313
cpu,10,1258.9189082237488,61.224068
