run_type,run_number,energy_joules,execution_time_sec
gpu,13,456.4544677734375,13.572708
cpu,9,4060.881607055664,58.558014
cpu,23,3968.708480834961,58.06048
gpu,1,407.37428283691406,11.584133
cpu,14,3928.4652709960938,57.56949
gpu,24,395.4886932373047,11.599592
cpu,30,4290.332778930664,60.062965
cpu,27,4309.614791870117,60.09389
cpu,28,4284.989898681641,60.07118
gpu,27,447.9184265136719,11.626471
gpu,10,461.17921447753906,12.057025
gpu,3,460.13478088378906,12.041474
cpu,6,4280.183685302734,60.058952
cpu,3,4316.7841796875,60.582874
gpu,5,455.72251892089844,11.611864
gpu,31,468.4620819091797,11.607255
gpu,32,459.3802795410156,11.584065
cpu,1,4424.029083251953,61.669163
cpu,29,4308.970642089844,60.55738
cpu,33,4312.540466308594,60.05435
cpu,12,4368.101486206055,61.06362
gpu,6,397.0748291015625,11.582078
gpu,9,396.3562774658203,11.606367
gpu,34,394.8107452392578,11.584393
cpu,11,3915.3822174072266,57.554344
cpu,5,3922.341827392578,58.057465
gpu,16,395.2519836425781,11.550461
gpu,21,394.57444763183594,11.565091
gpu,14,393.99603271484375,11.597832
gpu,7,391.99363708496094,11.549138
gpu,12,404.3203125,12.057489
cpu,13,3884.580047607422,58.060467
cpu,26,3914.3697967529297,58.05714
cpu,24,3918.6841583251953,58.055653
gpu,17,394.9049530029297,11.587507
gpu,20,393.3537139892578,11.552408
cpu,25,3900.4886016845703,58.05793
cpu,17,3907.1287841796875,58.056755
cpu,34,3921.4551391601562,58.06142
cpu,7,3914.735870361328,57.560154
gpu,2,396.1117858886719,11.577005
cpu,10,3906.495330810547,58.05579
cpu,20,3938.2429809570312,58.55869
gpu,15,396.4646301269531,11.609657
cpu,19,3926.463638305664,58.557995
cpu,15,3918.9935302734375,58.05666
gpu,25,395.29029846191406,11.599554
cpu,22,3894.496383666992,58.053722
gpu,30,408.2327423095703,12.100224
gpu,8,393.9893798828125,11.594632
cpu,4,3888.146255493164,58.073162
gpu,4,394.1790771484375,11.60435
gpu,19,406.4510498046875,12.075411
gpu,11,394.3194885253906,11.559307
cpu,2,3879.1399536132812,58.05634
cpu,8,3883.9254302978516,58.05655
gpu,28,394.26707458496094,11.562526
cpu,18,3875.776840209961,58.0611
gpu,22,395.92494201660156,11.602706
gpu,35,396.7616271972656,11.614383
